month,year,ONS_pop_est,out_deaths_total,exp_days_dtoc
August,2010,55692423,33775,109918
September,2010,55692423,36842,115855
October,2010,55692423,36159,113246
November,2010,55692423,39409,113091
December,2010,55692423,44988,116466
January,2011,56170927,46835,114346
February,2011,56170927,36733,112386
March,2011,56170927,41342,123130
April,2011,56170927,34521,108064
May,2011,56170927,37437,113364
June,2011,56170927,37398,117075
July,2011,56170927,33275,115517
August,2011,56170927,35924,117297
September,2011,56170927,35893,117194
October,2011,56170927,34740,116878
November,2011,56170927,38020,114705
December,2011,56170927,40744,112096
January,2012,56567796,43882,111934
February,2012,56567796,41861,109532
March,2012,56567796,41299,119736
April,2012,56567796,38928,108482
May,2012,56567796,41087,119331
June,2012,56567796,34303,110348
July,2012,56567796,36657,117200
August,2012,56567796,36435,120094
September,2012,56567796,32934,114264
October,2012,56567796,40394,116881
November,2012,56567796,39330,116169
December,2012,56567796,39669,107652
January,2013,56948229,49492,125716
February,2013,56948229,41002,109180
March,2013,56948229,41915,115158
April,2013,56948229,46352,113297
May,2013,56948229,39475,120550
June,2013,56948229,33503,112984
July,2013,56948229,37260,111951
August,2013,56948229,33322,122337
September,2013,56948229,34350,118864
October,2013,56948229,39585,123852
November,2013,56948229,37322,116932
December,2013,56948229,39974,112629
January,2014,57408654,45929,124289
February,2014,57408654,38566,112845
March,2014,57408654,38573,123061
April,2014,57408654,38729,116261
May,2014,57408654,36880,126779
June,2014,57408654,36058,124118
July,2014,57408654,38512,133903
August,2014,57408654,33640,137613
September,2014,57408654,38339,138267
October,2014,57408654,40201,142927
November,2014,57408654,36967,140949
December,2014,57408654,46481,139025
January,2015,57885413,57034,150392
February,2015,57885413,43727,134353
March,2015,57885413,44809,140390
April,2015,57885413,42286,138030
May,2015,57885413,36713,137115
June,2015,57885413,39289,139538
July,2015,57885413,37916,147376
August,2015,57885413,33823,145093
September,2015,57885413,38876,147738
October,2015,57885413,39458,160130
November,2015,57885413,38883,153155
December,2015,57885413,42495,154008
January,2016,58381217,44387,159467
February,2016,58381217,43033,158055
March,2016,58381217,45308,169882
April,2016,58381217,43755,168018
May,2016,58381217,38716,172294
June,2016,58381217,39378,173122
July,2016,58381217,36484,184578
August,2016,58381217,38006,187851
September,2016,58381217,37742,196570
October,2016,58381217,37835,200095
November,2016,58381217,43523,193206
December,2016,58381217,42624,195445
January,2017,58744595,53675,197511
February,2017,58744595,44815,186490
March,2017,58744595,45594,199641
April,2017,58744595,36422,176886
May,2017,58744595,41383,178209
June,2017,58744595,39447,177881
July,2017,58744595,35940,181891
August,2017,58744595,38341,180285
September,2017,58744595,37535,168041
October,2017,58744595,40745,169864
November,2017,58744595,42690,155137
December,2017,58744595,42295,145040
January,2018,59115809,60075,151383
February,2018,59115809,45918,140364
March,2018,59115809,47726,154494
April,2018,59115809,43478,145347
May,2018,59115809,39951,139812
June,2018,59115809,37213,135088
July,2018,59115809,38059,140938
August,2018,59115809,37610,146866
September,2018,59115809,34682,144595
October,2018,59115809,41466,146610
November,2018,59115809,40971,136183
December,2018,59115809,38710,128799
January,2019,,50383,135428
February,2019,,42848,127207
March,2019,,41116,138776
April,2019,,41164,130773
May,2019,,41503,139415
June,2019,,36180,135089
July,2019,,39604,139903
August,2019,,36269,148872
